code,name,industry,text_score,categories_hit_count,np_yoy,revenue_yoy,gross_margin,pe_ttm,pe_dynamic,pe_method,peg,drr,drgs,ibr,arr,order_backlog_score,filter_pass,price_index_1y_high,contract_liability_yoy,price_above_ma60,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value
301345,涛涛车业,摩托车及其他,3.00,2,57.9,60.6,42.3,24.3,22.8,动态(中报×2),0.42,0.014,29.5,-5.6,14.9,9.5,是,,90.0,否,,,,,,57.940
300201,海伦哲,工程机械,1.30,1,52.4,46.7,38.6,39.0,52.8,动态(中报×2),0.74,0.019,-26.1,9.4,-12.1,10.1,否(经营现金流同比恶化),,20.5,否,,,,,,52.410
300394,天孚通信,通信设备,1.30,1,33.9,15.1,60.9,117.4,113.1,动态(中报×2),3.46,0.020,-56.0,139.5,8.6,13.5,是,,-40.8,否,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],43.920
000682,东方电子,电网设备,1.20,1,33.2,16.0,30.7,14.9,18.7,动态(中报×2),0.45,0.389,-19.0,-6.8,9.5,26.1,否(经营现金流同比恶化),,-3.0,否,,是,,,全国社保基金五零三组合[社保],43.220
000960,锡业股份,小金属,1.30,1,41.6,49.7,11.2,23.4,19.1,动态(中报×2),0.56,0.008,-24.7,-23.7,-51.8,8.8,是,,25.0,否,,,,,,41.600
000988,华工科技,自动化设备,1.20,1,30.2,2.5,20.6,57.2,42.1,动态(中报×2),1.90,0.034,-3.4,25.5,-1.4,11.2,否(经营现金流同比恶化),,-0.8,否,,是,,,全国社保基金四零一组合[社保],40.170
002475,立讯精密,消费电子,5.80,4,18.0,40.2,11.8,24.8,26.5,动态(中报×2),1.38,0.003,50.1,7.4,14.2,9.4,否(经营现金流同比恶化),,90.3,是,是,,,是,阿布达比投资局-自有资金[QFII]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],38.040
300098,高新兴,通信设备,1.50,1,24.9,7.8,34.5,-310.2,121.7,动态(中报×2),,0.059,6.3,76.6,-10.3,13.6,是,,14.0,是,,是,,,汇添富基金管理股份有限公司-社保基金1802组合[社保],34.870
300476,胜宏科技,元件,4.00,3,33.3,28.8,33.2,44.0,35.9,动态(中报×2),1.32,0.001,-18.2,90.7,-13.3,11.4,否(毛利率同比下滑>3pct),,10.6,否,,,,,,33.300
002170,芭田股份,农化制品,4.30,3,32.2,3.8,39.5,10.7,9.4,动态(中报×2),0.33,0.061,58.2,8.6,-40.0,12.0,否(经营现金流同比恶化),,62.0,是,,,,,,32.230
002521,齐峰新材,造纸,5.50,4,26.1,-0.8,12.3,22.0,24.0,动态(中报×2),0.84,0.014,-33.6,-10.8,4.7,9.3,是,,-34.4,否,,,,,,26.100
002922,伊戈尔,其他电子Ⅱ,2.60,2,6.9,8.8,19.8,48.2,43.8,动态(中报×2),6.97,0.033,154.1,30.8,-20.0,11.4,否(经营现金流同比恶化),,162.9,否,,,,是,施罗德投资管理(香港)有限公司-施罗德环球基金系列中国A股(交易所)[QFII],16.910
