signal_id,触发日期,yaml_version_at_trigger,触发任务,桶,规则ID,标的代码,标的名称,申万一级行业,分桶基准代码,触发时指标值,阈值,当时组合状态,信号方向,建议动作,是否实际执行,执行日期,执行价格,回测预期胜率,回测预期中位收益_60d,回测预期中位收益_120d,回测预期中位收益_250d,事后60日收益%,事后120日收益%,事后250日收益%,事后60日超额沪深300%,事后120日超额沪深300%,事后250日超额沪深300%,事后60日超额分桶基准%,事后120日超额分桶基准%,事后250日超额分桶基准%,信号最终评价,备注
SIG-20260824-C-49,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000933,神火股份,工业金属,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-50,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002521,齐峰新材,造纸,000905,5.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[订单饱满]、price[涨价,量价齐升]、supply[产能利用率]，加权分5.5。"
SIG-20260824-C-51,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000062,深圳华强,其他电子Ⅱ,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-52,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300037,新宙邦,电池,000905,2.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中demand[订单饱满]、supply[产能利用率]，加权分2.5。
SIG-20260824-C-53,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300531,优博讯,计算机设备,000905,1.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中demand[在手订单充足]，加权分1.2（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-54,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301345,涛涛车业,摩托车及其他,000905,3.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[提价,涨价]，加权分3.0。"
SIG-20260824-C-55,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002560,通达股份,电网设备,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-56,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300919,中伟新材,电池,000905,4.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[提价,涨价,量价齐升]、supply[产能利用率]，加权分4.3，反向词: 控制库存。"
SIG-20260824-C-57,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000682,东方电子,电网设备,000905,1.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中demand[订单稳步增长]，加权分1.2（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-58,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000960,锡业股份,小金属,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[满产满销]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-59,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002701,奥瑞金,包装印刷,000905,4.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[涨价,价格上涨]、supply[产能利用率]，加权分4.3。"
SIG-20260824-C-60,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,001389,广合科技,元件,000905,6.7,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[订单饱满,需求旺盛]、price[提价,涨价]、supply[产能利用率]，加权分6.7。"
SIG-20260824-C-61,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002922,伊戈尔,其他电子Ⅱ,000905,2.6,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中supply[产能利用率,满产满销]，加权分2.6。"
